iter	Logloss
0	0.3915000846
1	0.2368379964
2	0.1341781689
3	0.07885072724
4	0.04829493345
5	0.03153260032
6	0.02136280946
7	0.01536039768
8	0.01151366935
9	0.009012805802
10	0.007154934753
11	0.006063913334
12	0.005245407861
13	0.004654049371
14	0.004222762025
15	0.003877944676
16	0.003611181541
17	0.003415145862
18	0.003251025836
19	0.003117710166
20	0.003001494462
21	0.002921237806
22	0.002829111055
23	0.002772726793
24	0.00272284865
25	0.002680091878
26	0.002650398234
27	0.002625818374
28	0.002564242204
29	0.002547390901
30	0.002516937808
31	0.002481219523
32	0.002465535944
33	0.002446881621
34	0.002395910663
35	0.002377473718
36	0.00232706107
37	0.002298399974
38	0.002265399133
39	0.002254990338
40	0.002228853089
41	0.002198683231
42	0.002168866259
43	0.002154212832
44	0.002135758132
45	0.002120735608
46	0.002106174832
47	0.00209702703
48	0.002083288476
49	0.002066067933
50	0.002046670964
51	0.002034608131
52	0.00201964506
53	0.002013039777
54	0.002005659237
55	0.001995743275
56	0.001988942891
57	0.00198249682
58	0.001959998253
59	0.001937400388
60	0.001922716151
61	0.001906298399
62	0.001901500981
63	0.001894753681
64	0.001883470235
65	0.001873065401
66	0.001863606627
67	0.001858949464
68	0.001853215371
69	0.001833419254
70	0.001828576303
71	0.001821776061
72	0.001801574948
73	0.001793412287
74	0.00177310656
75	0.001771527594
76	0.001764617902
77	0.001756532679
78	0.001744170137
79	0.00173971442
80	0.001735982405
81	0.001733478449
82	0.001723591152
83	0.001717619178
84	0.001711201318
85	0.001702942999
86	0.001694827765
87	0.001687700659
88	0.001681284611
89	0.001667009716
90	0.001649762148
91	0.00164086008
92	0.001625542802
93	0.001612471734
94	0.001608527221
95	0.001596811786
96	0.001589379041
97	0.001582606829
98	0.001579983987
99	0.001574086145
100	0.001570750077
101	0.001566731247
102	0.001559858561
103	0.001556041983
104	0.001553493906
105	0.001548840895
106	0.001541724592
107	0.001537925847
108	0.001535658389
109	0.001518461465
110	0.00150326122
111	0.001495843854
112	0.001493436754
113	0.001487279316
114	0.00148329023
115	0.001480653323
116	0.001478225372
117	0.001476595926
118	0.001472622246
119	0.001465407694
120	0.00145656857
121	0.001446499409
122	0.001440350387
123	0.001436169435
124	0.001425491647
125	0.001421741699
126	0.001402374809
127	0.001398847542
128	0.001392518264
129	0.001389071687
130	0.001376418044
131	0.001368490882
132	0.001362518374
133	0.001359005219
134	0.00135312571
135	0.00134788662
136	0.001345232253
137	0.001334062205
138	0.001326795069
139	0.001321474362
140	0.001315388159
